key,value
횡단중,35
기타,11
측면충돌,4
추돌,4
진행중 추돌,2
차도통행중,7
정면충돌,4
측면직각충돌,2
길가장자리구역통행중,0
도로이탈추락,0
공작물충돌,3
전도전복,3
도로이탈 기타,1
주정차중 추돌,2
