code,name,count
32030,강릉시,6
32400,고성군,3
32040,동해시,1
32070,삼척시,1
32060,속초시,3
32380,양구군,0
32410,양양군,1
32330,영월군,0
32020,원주시,7
32390,인제군,1
32350,정선군,1
32360,철원군,2
32010,춘천시,6
32050,태백시,1
32340,평창군,3
32310,홍천군,1
32370,화천군,1
32320,횡성군,1
31370,가평군,3
31103,고양시,11
31101,고양시,11
31104,고양시,11
31110,과천시,0
31060,광명시,3
31250,광주시,6
31120,구리시,0
31160,군포시,5
31230,김포시,5
31130,남양주시,7
31080,동두천시,3
31053,부천시,15
31052,부천시,15
31051,부천시,15
31023,성남시,9
31022,성남시,9
31021,성남시,9
31014,수원시,13
31013,수원시,13
31012,수원시,13
31011,수원시,13
31150,시흥시,7
31092,안산시,9
31091,안산시,9
31220,안성시,5
31042,안양시,10
31041,안양시,10
31260,양주시,2
31380,양평군,2
31320,여주시,2
31350,연천군,2
31140,오산시,4
31193,용인시,20
31192,용인시,20
31191,용인시,20
31170,의왕시,2
31030,의정부시,6
31210,이천시,5
31200,파주시,10
31070,평택시,13
31270,포천시,4
31180,하남시,3
31240,화성시,6
38090,거제시,6
38390,거창군,2
38340,고성군,3
38070,김해시,18
38350,남해군,0
38080,밀양시,5
38060,사천시,3
38370,산청군,0
38100,양산시,9
38310,의령군,0
38030,진주시,3
38330,창녕군,7
38114,창원시(통합),26
38113,창원시(통합),26
38115,창원시(통합),26
38111,창원시(통합),26
38112,창원시(통합),26
38050,통영시,4
38360,하동군,2
38320,함안군,10
38380,함양군,4
38400,합천군,3
37100,경산시,12
37020,경주시,15
37370,고령군,3
37050,구미시,6
37310,군위군,3
37030,김천시,7
37090,문경시,1
37410,봉화군,2
37080,상주시,11
37380,성주군,3
37040,안동시,9
37350,영덕군,2
37340,영양군,1
37060,영주시,2
37070,영천시,3
37400,예천군,2
37430,울릉군,0
37420,울진군,2
37320,의성군,6
37360,청도군,3
37330,청송군,1
37390,칠곡군,6
경북,포항시,11
24050,광산구,8
24030,남구,2
24010,동구,2
24040,북구,9
24020,서구,4
22040,남구,1
22070,달서구,7
22310,달성군,4
22020,동구,9
22050,북구,7
22030,서구,4
22060,수성구,5
22010,중구,1
25050,대덕구,10
25010,동구,7
25030,서구,5
25040,유성구,2
25020,중구,5
21120,강서구,3
21110,금정구,3
21310,기장군,2
21070,남구,5
21030,동구,3
21060,동래구,1
21050,부산진구,4
21080,북구,2
21150,사상구,2
21100,사하구,3
21020,서구,1
21140,수영구,2
21130,연제구,1
21040,영도구,2
21010,중구,1
21090,해운대구,7
11230,강남구,4
11250,강동구,4
11090,강북구,6
11160,강서구,2
11210,관악구,5
11050,광진구,4
11170,구로구,4
11180,금천구,2
11110,노원구,6
11100,도봉구,7
11060,동대문구,7
11200,동작구,6
11140,마포구,5
11130,서대문구,2
11220,서초구,4
11040,성동구,2
11080,성북구,6
11240,송파구,9
11150,양천구,5
11190,영등포구,7
11030,용산구,2
11120,은평구,6
11010,종로구,5
11020,중구,2
11070,중랑구,2
29010,세종,4
26020,남구,3
26030,동구,2
26040,북구,6
26310,울주군,7
26010,중구,4
23310,강화군,4
23070,계양구,2
23030,남구,6
23050,남동구,2
23020,동구,0
23060,부평구,3
23080,서구,11
23040,연수구,5
23320,옹진군,0
23010,중구,5
36390,강진군,5
36350,고흥군,2
36320,곡성군,0
36060,광양시,8
36330,구례군,3
36040,나주시,3
36310,담양군,2
36010,목포시,6
36420,무안군,4
36360,보성군,4
36030,순천시,6
36480,신안군,1
36020,여수시,8
36440,영광군,1
36410,영암군,3
36460,완도군,4
36450,장성군,2
36380,장흥군,2
36470,진도군,1
36430,함평군,6
36400,해남군,6
36370,화순군,2
35370,고창군,4
35020,군산시,12
35060,김제시,7
35050,남원시,3
35330,무주군,2
35380,부안군,5
35360,순창군,1
35310,완주군,5
35030,익산시,10
35350,임실군,1
35340,장수군,1
35012,전주시,13
35011,전주시,13
35040,정읍시,4
35320,진안군,2
39020,서귀포시,12
39010,제주시,19
34070,계룡시,2
34020,공주시,8
34310,금산군,1
34060,논산시,7
34080,당진시,11
34030,보령시,9
34330,부여군,3
34050,서산시,7
34340,서천군,5
34040,아산시,10
34370,예산군,6
34012,천안시,19
34011,천안시,19
34350,청양군,0
34380,태안군,7
34360,홍성군,5
33360,괴산군,6
33380,단양군,4
33320,보은군,3
33340,영동군,3
33330,옥천군,1
33370,음성군,7
33030,제천시,4
33390,증평군,1
33350,진천군,5
33012,청주시,25
33011,청주시,25
33020,충주시,12
