lat,lon
37.549561,126.90575
37.556,126.91045
37.554951,126.91084
37.550629,126.91499
37.550007,126.91483
37.548645,126.91283
37.55751,126.9185
37.552746,126.91862
37.547691,126.91998
37.568199,126.91785
37.547871,126.92353
37.549202,126.9232
37.557499,126.92381
37.55706,126.92442
37.558933,126.92712
37.564541,126.92707
37.59116,126.94133
37.547733,126.93176
37.545284,126.93105
37.545242,126.93411
37.549767,126.93317
37.547249,126.93929
37.59433,126.94739
37.55114,126.93699
37.549484,126.93895
37.550411,126.94385
37.55352,126.93695
37.555496,126.93634
37.555054,126.93757
37.554859,126.93616
37.584171,126.9111
37.556789,126.93588
37.582031,126.909
37.557892,126.93808
37.559101,126.93918
37.556004,126.9423
37.556812,126.94318
37.559177,126.93453
37.559795,126.93448
37.560009,126.94074
37.562382,126.93265
37.557201,126.95567
37.544579,126.95022
37.543579,126.95132
37.54425,126.95164
37.539936,126.94582
37.539272,126.94592
37.542347,126.94302
37.552956,126.93434
37.555687,126.90555
37.55661,126.89802
37.564697,126.91261
37.560909,126.9055
37.56855,126.91451
37.549904,126.95515
37.553001,126.95669
37.571259,126.96048
37.556953,126.94634
37.557549,126.95938
37.582245,126.95065
37.565269,126.94624
37.583698,126.92497
37.574478,126.91005
37.575138,126.91394
37.573277,126.91968
37.57946,126.91713
37.574821,126.91805
37.573002,126.9078
37.573112,126.92245
37.562134,126.96925
37.573254,126.93572
37.564777,126.96615
37.580589,126.92345
37.578072,126.93082
37.581097,126.92403
37.577675,126.90981
37.579876,126.90635
37.569122,126.9148
37.559967,126.96246
37.551342,126.90267
37.551567,126.90285
37.565166,126.9194
37.558949,126.90775
37.542545,126.9343
37.563965,126.89821
37.586388,126.93513
37.578892,126.91074
37.572227,126.92307
37.577316,126.90297
37.567657,126.91781
37.56612,126.9259
37.562138,126.96378
37.566845,126.89645
37.528728,126.91493
37.531239,126.92133
37.528816,126.92453
37.528057,126.9187
37.528164,126.91702
37.526264,126.92051
37.524666,126.91802
37.526989,126.9321
37.524612,126.92783
37.526066,126.92554
37.522228,126.92464
37.521362,126.92346
37.521908,126.91895
37.523022,126.92084
37.524837,126.93491
37.523491,126.9329
37.522079,126.93037
37.523277,126.92924
37.520695,126.92584
37.519363,126.92605
37.522675,126.93779
37.520271,126.93888
37.519314,126.93317
37.520088,126.93237
37.517368,126.92925
37.517765,126.92841
37.544666,126.88836
37.53846,126.89451
37.535873,126.89218
37.524635,126.89622
37.524506,126.89182
37.52565,126.88782
37.528488,126.89165
37.500462,126.90585
37.504566,126.91023
37.516155,126.89462
37.496513,126.9148
37.526386,126.90276
37.525852,126.90328
37.518738,126.89558
37.505329,126.89848
37.510933,126.91023
37.527084,126.89138
37.530079,126.90571
37.528263,126.89663
37.533688,126.90211
37.531055,126.92421
37.52412,126.93655
37.507641,126.92308
37.504494,126.92195
37.499977,126.92004
37.500648,126.90952
37.503803,126.90342
37.506573,126.90113
37.509476,126.8993
37.513844,126.91936
37.517693,126.9143
37.513592,126.92593
37.533817,126.91249
37.519928,126.88918
37.517151,126.88863
37.521931,126.89162
37.521133,126.89654
37.520294,126.90119
37.535961,126.8983
37.534718,126.9
37.522343,126.9271
